RELATION	LEFTTERM	RIGHTTERM	COUNT
sibling	FAA	ONERA	1
sibling	package_deliveries	beyond_line_of_sight	1
sibling	scaled_agile	agile_project	1
ancestor	ISIL	islamist_militant_groups	1
ancestor	ROS	interchangeable_end	1
sibling	rapid_reaction	pre_planned	1
sibling	US	jordanian_intelligence	1
ancestor	rising_global	frida_escobedo	1
sibling	aerial_photography	police_surveillance	1
sibling	R&D	field_operations	1
sibling	LIDAR	thermal_imaging_cameras	1
ancestor	non_destructive_inspection	ultrasonic_inspection	1
ancestor	specific_laws	public_law	1
sibling	simon_brown	eoin_woods	1
ancestor	web_browser	end_user	1
sibling	cpu_usage	memory_usage	1
ancestor	legitimate_purposes	film_production	1
sibling	UAS	UAV	1
sibling	slow_slip	fluid_flow	1
ancestor	unmanned_aircraft	delivery_drones	1
ancestor	infrastructure_inspection	aerial_imaging_missions	1
sibling	aerial_photography	aerial_video	1
sibling	advanced_composite_materials	multifunctional_materials	1
sibling	LDAR	LLP	1
ancestor	critical_aspects	terrain_conditions	1
sibling	hand_eye_coordination	STEM	1
sibling	foreign_military	law_enforcement	1
sibling	satellite_navigation	IMU	1
sibling	real_estate	motion_picture	1
ancestor	drone_technology	thermal_imaging	1
ancestor	environmental_screening	highly_accelerated_life_testing	1
ancestor	IT	HTML	1
sibling	drone_journalism	aerial_cinematography	1
sibling	UAVs	internet_of_things	1
ancestor	infrared_camera	high_tech	1
ancestor	vertical_infrastructure	transmission_lines	1
sibling	virtual_reality	laser_scanners	1
sibling	TAF	METAR	1
sibling	COIN	CT	1
sibling	major_flooding	extreme_weather	1
sibling	news_feeds	extended_presence	1
sibling	JMS	WCF	1
sibling	ISTAR	UAV	1
sibling	ETL	ssis_package	1
sibling	UAVs	aerial_imagery	1
sibling	wind_tunnel	flight_test	1
sibling	isotope_ratios	model_ages	1
sibling	industry_analysts	market_participants	1
sibling	communication_towers	satellite_dishes	1
ancestor	extra_features	propeller_guards	1
sibling	operational_procedures	ground_control_station	1
ancestor	file_types	XML	1
sibling	reduce_risk	lower_costs	1
sibling	GPS	laser_designation	1
sibling	FAA	AOPA	1
ancestor	launch_vehicles	low_earth_orbit	1
sibling	mission_critical	safety_critical	1
sibling	powerful_motors	headless_mode	1
ancestor	b2b_drone_events	trade_shows	1
sibling	dual_battery	IMU	1
sibling	blighter_surveillance_systems	chess_dynamics	1
ancestor	potential_obstacles	aerial_vehicles	1
ancestor	city_blocks	large_geographic_areas	1
ancestor	intelligent_features	gps_denied	1
ancestor	power_sources	turbine_engines	1
ancestor	military_applications	border_patrol	1
ancestor	ISIS	islamist_militant_groups	1
ancestor	instant_messaging_services	microsoft_skype	1
sibling	WARNING	soa_infra	1
ancestor	unit_test_framework	JUnit	1
ancestor	computational_intelligence	fuzzy_logic	1
sibling	government_agencies	search_and_rescue	1
ancestor	mission_scenarios	search_and_rescue	1
sibling	intra_bank	inter_bank	1
sibling	CTS	RTS	1
ancestor	industry_standards	STANAG	1
sibling	air_traffic_control	emergency_services	1
sibling	unit_testing	regression_testing	1
ancestor	related_fields	automated_driving	1
ancestor	swarming_behaviors	adaptive_formation_flying	1
ancestor	internet_protocols	URI	1
sibling	environmental_monitoring	law_enforcement	1
sibling	MDC	NDC	1
ancestor	ROS	laser_scans	1
ancestor	safety_incidents	motor_vehicle_accidents	1
sibling	GPS	motion_capture	1
ancestor	interested_parties	lead_applicants	1
ancestor	app_stores	parrot_ar	1
sibling	bell_helicopter	cessna_aircraft_company	1
sibling	JMS	SOAP	1
sibling	nuget_packages	kre_runtime	1
ancestor	tall_structures	flare_stacks	1
ancestor	satellite_signals	BDS	1
sibling	image_processing	IoT	1
sibling	multi_stream	multi_port	1
sibling	content_types	response_codes	1
sibling	flight_restrictions	weather_related	1
sibling	signal_processing	data_storage	1
sibling	auto_subscribe	filtered_notifications	1
ancestor	ISR	collecting_intelligence	1
ancestor	web_browsers	AJAX	1
sibling	CI	LI	1
sibling	CAVs	TaaS	1
ancestor	small_uavs	airborne_platforms	1
ancestor	virtual_pbx	virtual_voicemail	1
ancestor	open_source_licenses	ASL	1
sibling	commercial_uav_expo	drone_world_expo	1
ancestor	densely_populated_areas	sporting_events	1
ancestor	fail_safes	safety_features	1
sibling	ITAR	EAR	1
sibling	automatically_lowered	wing_tip	1
ancestor	application_layer	ERP	1
ancestor	powerful_brands	cessna_aircraft_company	1
sibling	GPS	geographic_information_system	1
sibling	inertial_navigation	laser_designation	1
ancestor	management_software	SAP	1
sibling	UART	SPI	1
ancestor	mission_payloads	ISR	1
ancestor	commercial_applications	precision_agriculture	1
sibling	HYWINGS	FLIR	1
sibling	applied_research	early_stage	1
sibling	secure_boot	ARM	1
ancestor	united_states_code	applicable_law	1
ancestor	GCHQ	intelligence_agencies	1
sibling	ASAP	FOQA	1
ancestor	scap_components	common_vulnerabilities	1
sibling	artificial_intelligence	autonomous_robotic	1
ancestor	pricier_models	dji_spark	1
ancestor	fine_grained_mafic	chilled_margins	1
sibling	video_footage	package_delivery	1
sibling	RGB	visible_light	1
sibling	layered_mafic_intrusion	platinum_group_element	1
ancestor	crime_scenes	fatal_accidents	1
ancestor	medical_center	case_studies	1
ancestor	radio_systems	emergency_services	1
sibling	xiaomi_mi_drone_1080p	xiaomi_mi_drone_4k	1
sibling	target_tracking	gps_denied	1
sibling	fertilizer_spraying	pesticide_spraying	1
sibling	search_and_rescue	military_training	1
ancestor	video_analytics	number_plate_recognition	1
sibling	RRSW	MSV	1
ancestor	small_unmanned_aircraft	newly_purchased	1
sibling	drone_pilots	racing_league	1
ancestor	operational_constraints	FAA	1
sibling	barricade_situations	hazardous_materials	1
ancestor	intelligent_return	intelligent_flight_mode	1
sibling	chess_dynamics	enterprise_control_systems	1
sibling	national_disaster	civil_defense	1
sibling	project_wing	anra_technologies	1
sibling	OSHA	ADA	1
sibling	remote_sensing	data_collection	1
ancestor	jet_propulsion	technical_advances	1
sibling	emergency_management	infrastructure_inspection	1
sibling	IP	IPX	1
sibling	electrical_towers	transmission_lines	1
ancestor	humanitarian_organizations	UN	1
sibling	stockpile_measurement	topographic_mapping	1
sibling	software_developers	payload_integration	1
sibling	traffic_monitoring	law_enforcement	1
sibling	package_delivery	emergency_management	1
sibling	gopro_karma	dji_mavic_pro	1
sibling	visual_observations	hand_held	1
sibling	aerial_surveying	oil_rig	1
sibling	thermal_imaging	facial_recognition_software	1
sibling	ground_based	aerial_systems	1
ancestor	natural_hazards	forest_fires	1
sibling	package_delivery	infrastructure_inspection	1
sibling	canadian_uavs	lockheed_martin_cdl_systems	1
ancestor	uas_operations	precision_agriculture	1
sibling	rest_web_services	rest_api	1
sibling	credit_card	bank_account	1
ancestor	dji_phantom	similar_setups	1
sibling	utility_coordination	construction_phase	1
sibling	blm_afs	DOF	1
sibling	governmental_regulation	private_property	1
sibling	multilocus_sequence_typing	pulsed_field_gel_electrophoresis	1
sibling	transaction_processing	message_brokering	1
sibling	rotary_wing	multi_rotor	1
sibling	higher_level	domain_specific	1
sibling	ISIS	ISIL	1
sibling	package_delivery	air_taxi_services	1
ancestor	advanced_technology	drone_technology	1
ancestor	industry_leader	border_states	1
ancestor	end_users	air_traffic_control	1
ancestor	public_universities	public_entities	1
sibling	radio_communications	airspace_classification	1
sibling	R&D	systems_engineering	1
ancestor	al_qaeda	extremist_groups	1
sibling	precision_agriculture	aerial_imagery	1
ancestor	general_aviation_aircraft	crop_dusters	1
sibling	wi_fi	cellular_phone	1
sibling	baitullah_mehsud	faisal_shahzad	1
sibling	law_enforcement	disaster_relief	1
sibling	demonstration_purposes	prohibit_civilian	1
ancestor	educational_efforts	cell_phone	1
sibling	fully_autonomous	highly_automated	1
ancestor	web_frameworks	ASP.net	1
ancestor	advanced_features	SSL	1
ancestor	UAS	document_management	1
ancestor	quality_control	statistical_process_control	1
sibling	LINK	JOIN	1
sibling	service_desk	IT	1
ancestor	transportation_solutions	electric_vehicle	1
sibling	SMS	mobile_communications	1
sibling	multiple_vendors	open_source	1
ancestor	small_uavs	multi_rotor	1
ancestor	dedicated_hardware	API	1
sibling	circulation_control	boundary_layer	1
ancestor	ground_bees	alkali_bees	1
ancestor	higher_priced	zerotech_dobby	1
sibling	tall_buildings	antenna_towers	1
ancestor	FAA	federal_funding	1
sibling	interview_question	understanding_key_oracle_fusion_middleware_farm	1
ancestor	middle_tier	transaction_processing_monitors	1
ancestor	mobile_networks	mtn_irancell	1
ancestor	emerging_threats	cyber_attacks	1
sibling	DAS	ESM	1
ancestor	hot_spots	potential_hazards	1
ancestor	resource_intensive	scientific_computing	1
ancestor	uas_operations	disaster_relief	1
ancestor	weather_conditions	reduced_visibility	1
sibling	parrot_ar	DJI	1
ancestor	commercial_applications	environmental_monitoring	1
sibling	command_line_interface	xml_based	1
sibling	google_maps	google_wallet	1
sibling	cellular_phones	emergency_services	1
ancestor	transmission_lines	critical_elements	1
sibling	construction_site_monitoring	oil_rig	1
sibling	NASA	ONERA	1
ancestor	performance_based_navigation	air_transport	1
sibling	AOPA	AIA	1
ancestor	advanced_technology	laser_scanners	1
sibling	AMA	FAA	1
sibling	dye_penetrant	eddy_current	1
sibling	drug_interdiction	search_and_rescue	1
sibling	fixed_wing	foldable_wing	1
sibling	unmanned_aircraft_system	unmanned_aircraft	1
sibling	wind_speeds	water_levels	1
sibling	HTML	JSON	1
sibling	mavic_pro	phantom_series	1
sibling	radio_modem	udp_connections	1
ancestor	MS	dev_environments	1
sibling	car_sharing	ride_hailing	1
sibling	cross_site_scripting	OS	1
sibling	text_message	online_chat	1
sibling	web_browsers	smart_devices	1
sibling	acm_digital_library	google_scholar	1
sibling	restricted_airspace	adverse_weather	1
sibling	cross_site_scripting	sql_injection	1
sibling	FI	cloze_test	1
ancestor	power_sources	piston_engines	1
sibling	web_services	rest_apis	1
sibling	single_shot	auto_exposure	1
ancestor	flue_gas	subbituminous_coal	1
ancestor	compelling_applications	inspecting_bridges	1
sibling	delivers_high_quality	engaging_content	1
sibling	autonomous_cars	mobile_phone	1
sibling	environmental_monitoring	and_energy	1
ancestor	adf_library	adf_rich	1
sibling	federal_aviation_administration	aviation_industry	1
ancestor	mining_companies	private_sector_entities	1
sibling	disaster_response	resource_management	1
ancestor	quality_attributes	backward_compatibility	1
sibling	hyperspectral_imagery	high_definition	1
sibling	panama_canal	AIS	1
ancestor	forest_fires	natural_disasters	1
sibling	ground_control_stations	electro_optical	1
ancestor	flue_gas	bituminous_coal	1
sibling	position_hold	altitude_hold	1
sibling	multimedia_editing	financial_modeling	1
ancestor	data_sources	flat_files	1
ancestor	resource_intensive	multimedia_editing	1
sibling	cpt_calculator	cpt_design	1
ancestor	military_bases	shamsi_airfield	1
sibling	wi_fi	wireless_home	1
sibling	dye_penetrant	ultrasonic_inspection	1
sibling	ground_flash_density	peak_current	1
sibling	traffic_hotspots	accident_prone	1
sibling	blind_spot_detection	forward_collision_warning	1
sibling	sql_injection	OS	1
ancestor	robotics_researchers	elon_musk	1
ancestor	thermal_imaging	FLIR	1
sibling	disaster_relief	law_enforcement	1
ancestor	camera_drone	flight_safety	1
sibling	attitude_determination	multi_sensor_fusion	1
sibling	law_enforcement	search_and_rescue	1
ancestor	geo_referencing	telemetry_data	1
ancestor	vertical_infrastructure	wind_turbines	1
sibling	precision_agriculture	public_safety	1
sibling	windows_azure	cloud_computing	1
sibling	water_resistance	long_distance	1
sibling	rapid_deployment	high_resolution	1
ancestor	great_features	durable_frame	1
sibling	proliferation_concerns	export_policy	1
sibling	DNG	JPEG	1
sibling	counter_drone	counter_uas	1
ancestor	segregated_airspace	detect_and_avoid	1
sibling	adaptive_cruise_control	forward_collision_warning	1
sibling	fatal_accidents	hazardous_materials	1
sibling	serial_port	radio_modem	1
ancestor	unmanned_aircraft_systems	ground_control_stations	1
sibling	AJAX	GWT	1
sibling	power_distribution	voltage_regulation	1
sibling	mobile_phones	electric_cars	1
ancestor	profitable_commercial	infrastructure_inspection	1
sibling	model_airplane	UAS	1
sibling	flight_delays	en_route	1
ancestor	flight_controllers	PX4	1
ancestor	multithreaded_applications	web_services	1
ancestor	multiple_browsers	IE	1
ancestor	programming_languages	BASIC	1
ancestor	industry_standards	XML	1
sibling	emergency_management	human_transportation	1
sibling	ASTM	RTCA	1
sibling	sense_and_avoid	optical_tracking	1
ancestor	file_types	HTML	1
sibling	single_user	multi_user	1
sibling	lockheed_martin	northrop_grumman	1
sibling	stockpile_measurement	inventory_management	1
ancestor	drone_reviews	UVA	1
ancestor	intelligent_flight	autonomous_waypoint_navigation	1
sibling	content_types	URLs	1
sibling	mobile_internet	cloud_based_hosting	1
ancestor	data_structures	hash_tables	1
sibling	mafic_minerals	fe_ti	1
ancestor	consumers_behave	crypto_currencies	1
sibling	SQL	XPath	1
ancestor	text_messages	SMS	1
sibling	4k_camera	GPS	1
sibling	instant_messaging	mobile_communications	1
sibling	design_patterns	software_architecture_documentation	1
sibling	woods_hole_oceanographic_institute	remote_sensing	1
sibling	law_enforcement	airport_security	1
sibling	AAA	VLM	1
ancestor	dedicated_hardware	CAN	1
ancestor	autonomous_functions	return_home	1
sibling	northrop_grumman	general_atomics	1
ancestor	hong_kong	personal_data	1
ancestor	industry_leaders	aerial_media	1
sibling	intelligent_flight	intelligent_return	1
sibling	REST	SOAP	1
ancestor	internet_protocols	port_numbers	1
ancestor	CAP	emergency_services	1
ancestor	significant_benefits	package_delivery	1
sibling	response_codes	URLs	1
ancestor	microsoft_products	visual_studio	1
sibling	particle_swarm_optimization	artificial_bee_colony	1
sibling	setting_headers	status_code	1
ancestor	safety_oversight	small_uas	1
sibling	RFID	optical_sensor	1
ancestor	asia_pacific_region	unmanned_aerial_vehicle	1
sibling	asset_inspection	data_management	1
ancestor	solving_complex	load_balancing	1
sibling	military_training	border_patrol	1
sibling	public_safety	homeland_security	1
sibling	transition_frequencies	vibrationally_averaged	1
ancestor	government_agencies	NASA	1
ancestor	aircraft_safety_improvement	accident_analysis	1
sibling	ISR	EW	1
ancestor	industry_groups	AUVSI	1
sibling	eddy_current	ultrasonic_inspection	1
ancestor	law_enforcement	public_sector	1
sibling	virtual_reality	augmented_reality	1
ancestor	consumers_behave	artificial_intelligence	1
sibling	project_management	software_development	1
sibling	fault_tolerance	backward_compatibility	1
sibling	fractional_crystallization	crustal_contamination	1
sibling	PCB	INA169	1
sibling	business_development	strategic_partnership	1
sibling	LCD	magnesium_alloy	1
sibling	ADA	OSHA	1
ancestor	weather_phenomena	severe_storms	1
ancestor	vertical_infrastructure	electrical_towers	1
ancestor	portal_metrics	API	1
sibling	line_of_sight	daytime_operations	1
sibling	dji_phantom	udi_u818a	1
sibling	delivering_packages	monitoring_crops	1
ancestor	performance_characteristics	engine_type	1
sibling	al_qaida	ISIS	1
sibling	tight_spaces	high_dose	1
sibling	project_management	maintenance_contractor	1
ancestor	flow_control	boundary_layer	1
sibling	first_person_view	line_of_sight	1
sibling	aviation_safety	air_traffic	1
sibling	NGOs	UN	1
sibling	auto_takeoff	auto_return_home	1
ancestor	safety_program	AMA	1
ancestor	inspect_pipelines	gas_facilities	1
sibling	aerial_photo	video_production	1
ancestor	commercial_applications	and_energy	1
ancestor	commercial_operations	precision_agriculture	1
sibling	UAV	manned_aviation	1
ancestor	auxiliary_equipment	landing_gear	1
sibling	open_source_projects	corporate_development	1
ancestor	formal_verification	model_checking	1
ancestor	state_actors	ISIS	1
ancestor	islamic_state	islamist_militant_groups	1
ancestor	airframe_structural_components	multifunctional_materials	1
sibling	signal_integrity	EMI	1
ancestor	unauthorised_drone_activity	airspace_incursions	1
sibling	police_departments	public_universities	1
ancestor	single_threaded_application	PHP	1
ancestor	smartphone_apps	electronic_media	1
sibling	damp_heat	thermal_cycling	1
sibling	CIA	JSOC	1
ancestor	flow_control	circulation_control	1
ancestor	emerging_threats	uas_operations	1
sibling	civil_engineers	land_surveyors	1
sibling	PCI	HIPAA	1
ancestor	ROS	open_source	1
sibling	FAA	model_aircraft	1
ancestor	industrial_applications	inspecting_power_lines	1
ancestor	drone_delivery	commercial_drone_applications	1
ancestor	fishing_gear	ocean_debris	1
sibling	law_enforcement	critical_infrastructure	1
sibling	gesture_control	facial_recognition	1
sibling	RF	video_cameras	1
sibling	thermal_imaging	high_definition	1
sibling	border_patrol	asset_monitoring	1
ancestor	terrorist_bombings	militant_attacks	1
ancestor	higher_education	research_organizations	1
ancestor	valuable_insights	georeferenced_orthomosaics	1
ancestor	safety_critical	full_authority_digital_electronic_control	1
sibling	fixed_wing_aircraft	unmanned_aircraft_systems	1
sibling	optical_tracking	gesture_recognition	1
ancestor	REF	partnered_organizations	1
ancestor	radio_systems	air_traffic_control	1
sibling	bridge_inspections	land_surveying	1
ancestor	based_languages	ms_windows	1
ancestor	free_shipping	international_orders	1
ancestor	higher_priced	dji_spark	1
ancestor	flight_controllers	APM	1
ancestor	UTM	LAANC	1
ancestor	external_forces	air_pressure	1
ancestor	unstructured_environments	complex_terrain	1
sibling	quality_assurance	test_automation	1
sibling	life_cycles	seamlessly_integrating	1
ancestor	emergency_situations	assessing_damage	1
ancestor	modern_warfare	electronic_warfare	1
ancestor	flue_gas	natural_gas	1
ancestor	network_infrastructure	dns_servers	1
ancestor	close_encounter	geo_fencing	1
sibling	PDF	EPUB	1
sibling	morne_patates	plat_pays	1
sibling	port_numbers	URI	1
ancestor	mission_scenarios	oil_spills	1
sibling	marine_resources	search_and_rescue	1
ancestor	business_models	sean_cassidy	1
sibling	ISO	HIPAA	1
ancestor	aeronautical_information_management	air_transport	1
sibling	POSIX	ANSI	1
sibling	dual_battery	IP43	1
sibling	dji_spark	zerotech_dobby	1
sibling	VGA	SVGA	1
sibling	JSON	OData	1
ancestor	sensing_technologies	MEMS	1
sibling	ASP.net	GWT	1
sibling	control_stations	data_links	1
sibling	waypoint_mapping	altitude_hold	1
ancestor	air_traffic_flow_management	air_transport	1
sibling	augmented_reality	laser_scanners	1
ancestor	software_packages	brown_ros_pkg	1
sibling	situational_awareness	search_and_rescue	1
sibling	library_science	cognitive_psychology	1
ancestor	industry_analysts	carl_sapers	1
ancestor	industry_standards	ODBC	1
ancestor	drone_technology	facial_recognition_software	1
ancestor	uav_makers	general_atomics	1
ancestor	airspace_management	geo_fencing	1
sibling	big_data	aerial_imagery	1
ancestor	intelligent_flight	intelligent_flight_mode	1
ancestor	small_uas	model_aircraft	1
sibling	mobile_phones	consumer_electronics	1
sibling	MOSI	SCK	1
ancestor	display_boards	led_sign_boards	1
sibling	psychological_damage	anti_american	1
sibling	SE	SG	1
ancestor	heterogeneous_platforms	FPGAs	1
sibling	usb_serial	mass_storage	1
sibling	joby_aviation	silicon_valley	1
ancestor	app_stores	DJI	1
sibling	DBMSs	ERP	1
sibling	private_property	civil_liability	1
sibling	avoid_obstacles	easily_track	1
ancestor	iot_devices	autonomous_vehicles	1
sibling	visualization_software	video_wall	1
sibling	image_capture	advanced_search	1
ancestor	moving_platforms	small_unmanned_aircraft	1
sibling	electromagnetic_compatibility	electromagnetic_interference	1
ancestor	critical_infrastructure	oil_and_gas_pipelines	1
sibling	unmanned_aircraft	autonomous_control	1
sibling	flight_skills	UAS	1
sibling	web_services	DDS	1
sibling	SMS	MMS	1
sibling	flight_autonomy	contextual_awareness	1
sibling	ISO	IEEE	1
sibling	return_to_home	waypoint_mapping	1
ancestor	drone_operators	minneapolis_based	1
sibling	jammer_guns	anti_drone	1
sibling	lockheed_martin	general_atomics	1
ancestor	small_unmanned	power_distribution	1
ancestor	APM	data_management	1
sibling	air_vehicles	ground_control_stations	1
ancestor	business_purposes	oil_rig	1
sibling	MVC	MVP	1
sibling	radio_communications	emergency_procedures	1
sibling	PX4	pixhawk_autopilot	1
ancestor	SMEs	start_ups	1
sibling	url_pushing	form_replication	1
sibling	sense_and_avoid	gesture_recognition	1
ancestor	great_features	headless_mode	1
ancestor	defense_contractors	lockheed_martin	1
sibling	oil_spills	search_and_rescue	1
sibling	MSMQ	AMQP	1
sibling	DSL	VPN	1
ancestor	remote_management	hotspot_vm	1
ancestor	land_surveys	data_gathering	1
sibling	emergency_procedures	airspace_classification	1
sibling	thermal_imaging	gps_tracking	1
ancestor	smart_cards	emerging_technologies	1
ancestor	swarming_behaviors	collective_decision_making	1
sibling	advanced_technology	highly_skilled	1
ancestor	border_patrol	special_operations	1
sibling	infrared_sensors	phased_array_radar	1
ancestor	industry_leader	BSE	1
ancestor	sensing_technologies	smart_materials	1
ancestor	SDK	valve_developer_tools	1
ancestor	robotics_engineers	vijay_kumar	1
sibling	ASL	BSD	1
sibling	growing_population	rapid_urbanization	1
sibling	strike_slip	reverse_fault	1
ancestor	open_source_licenses	BSD	1
ancestor	video_games	digital_technology	1
ancestor	commercial_uas_operations	autonomous_flight	1
sibling	end_users	software_development	1
ancestor	private_sector_entities	drone_operators	1
ancestor	spectral_analyses	FI	1
ancestor	long_term	replacement_propellers	1
sibling	aeronautical_information_management	air_traffic_flow_management	1
ancestor	WMD	improvised_threats	1
sibling	electronic_attack	strike_missions	1
ancestor	technological_advances	facial_recognition	1
sibling	GTRI	CNN	1
ancestor	high_cost	multi_rotor	1
ancestor	grenade_launcher	offensive_weapons	1
ancestor	age_range	rc_helicopter	1
ancestor	defense_contractors	northrop_grumman	1
ancestor	industry_leaders	harris_corp	1
sibling	restful_api	soap_web_services	1
sibling	CYCLE	point_of_interest	1
ancestor	airport_management	regulatory_requirements	1
sibling	lithium_batteries	hybrid_propulsion	1
ancestor	eye_popping	sweeping_aerial	1
sibling	dslr_cameras	propeller_guards	1
sibling	websphere_message_broker	TIBCO	1
ancestor	local_government_agencies	law_enforcement_agencies	1
ancestor	unmanned_systems	cyber_security	1
ancestor	geo_spatial_mapping	aerial_imaging_missions	1
ancestor	application_logic	quarter_end	1
sibling	public_safety	critical_infrastructure	1
ancestor	multiple_missions	aerial_reconnaissance	1
ancestor	commercial_applications	law_enforcement	1
sibling	small_uas	gao_identified	1
sibling	NFC	RFID	1
sibling	environmental_factors	weather_conditions	1
ancestor	executable_format	ELF	1
ancestor	poor_weather_conditions	reduced_visibility	1
sibling	ETT	RNA	1
sibling	multimedia_editing	scientific_computing	1
sibling	FAA	uas_operators	1
sibling	red_hat_enterprise_linux	red_hat_jboss_enterprise_application_platform	1
ancestor	public_agencies	local_police_departments	1
sibling	digital_camcorder	VCR	1
sibling	GSM	CDMA	1
sibling	super_smooth_video	video_game_controller	1
ancestor	safe_uas_operations	community_outreach	1
ancestor	CRM	enterprise_solutions	1
sibling	cut_costs	improve_safety	1
ancestor	real_life	search_and_rescue	1
ancestor	application_logic	month_end	1
sibling	artificial_neural_networks	fuzzy_logic	1
ancestor	fast_paced	extreme_action_sports	1
sibling	crystal_clear_photos	smooth_videos	1
ancestor	compelling_applications	gas_flares	1
ancestor	user_groups	AIA	1
sibling	multi_rotor_aircrafts	uhd_4k	1
sibling	cyber_security	UAV	1
sibling	udi_u818a	3dr_solo	1
sibling	thermal_imaging	hyperspectral_imagery	1
sibling	change_detection	search_and_rescue	1
sibling	low_level	high_level	1
ancestor	critical_infrastructure	power_plants	1
sibling	ATOM	CAP	1
sibling	resource_protection	emergency_services	1
sibling	odbc_drivers	teradata_odbc	1
sibling	digital_assets	scanned_images	1
ancestor	JVM	thread_activity	1
sibling	beyond_visual_line_of_sight	autonomous_flight	1
sibling	manned_helicopters	fixed_wing_aircraft	1
ancestor	wind_conditions	low_level	1
ancestor	learning_algorithms	artificial_neural_networks	1
sibling	satellite_navigation	IP43	1
sibling	business_logic	data_access	1
sibling	SBIR	STTR	1
sibling	military_jets	UAVs	1
sibling	dye_penetrant	magnetic_particle	1
sibling	solar_panels	golf_cart	1
sibling	financial_modeling	scientific_computing	1
ancestor	domestic_law_enforcement	emergency_service	1
sibling	threat_detection	situational_awareness	1
ancestor	significant_benefits	emergency_management	1
ancestor	civil_applications	package_delivery	1
ancestor	high_performance	barrel_rolls	1
sibling	ECC	CRM	1
ancestor	discussing_topics	cross_border	1
sibling	air_force	korean_military	1
ancestor	humpback_whales	marine_animals	1
sibling	powerful_motors	durable_frame	1
sibling	wind_speeds	visibility_conditions	1
sibling	addressing_safety	data_protection	1
ancestor	quality_attributes	fault_tolerance	1
ancestor	web_application	SAS	1
sibling	aerial_photography	land_surveying	1
sibling	DARPA	NASA	1
sibling	IPv4	IPv6	1
sibling	infrastructure_inspection	geo_spatial_mapping	1
ancestor	auxiliary_systems	control_systems	1
sibling	nodeid_semantics	collection_nodes	1
ancestor	police_departments	public_entities	1
ancestor	azure_services	azure_sql	1
ancestor	advanced_technology	virtual_reality	1
ancestor	XML	WSDL	1
ancestor	OAuth	SAML	1
sibling	AMQP	SOAP	1
ancestor	output_formats	EPUB	1
sibling	inspecting_bridges	gas_flares	1
sibling	transferring_data	receiving_responses	1
sibling	ip_address	client_identifier	1
ancestor	UAS	intelligent_sensing	1
sibling	foldable_wing	rotary_wing	1
ancestor	latest_technologies	FLEX	1
sibling	battery_powered	long_range	1
sibling	commercial_aircraft	military_operations	1
sibling	focus_areas	LFV	1
ancestor	UAE	abu_dhabi	1
ancestor	landscape_designs	swimming_pool	1
sibling	GPS	inertial_navigation	1
sibling	manned_helicopters	unmanned_aircraft_systems	1
ancestor	civil_applications	weather_forecasting	1
sibling	agricultural_surveys	package_deliveries	1
sibling	PPM	PWM	1
ancestor	government_agencies	large_companies	1
ancestor	flight_control	PIDs	1
sibling	AWS	NGC	1
ancestor	programming_languages	BPEL	1
ancestor	uas_operators	private_sector	1
sibling	finite_state_machines	regular_expressions	1
sibling	internal_combustion_engines	fuel_cells	1
sibling	SOPSO	MOPSO	1
sibling	land_surveyors	civil_engineering	1
ancestor	mission_scenarios	change_detection	1
sibling	return_to_home	altitude_hold	1
sibling	high_resolution	thermal_images	1
sibling	daytime_operations	visual_line_of_sight	1
sibling	CV	STOVL	1
ancestor	al_qaeda_terrorists	musa_abu_dawud	1
ancestor	significant_benefits	higher_performance	1
ancestor	i2c_pixhawk_px4	related_products	1
sibling	flight_control	human_factors	1
sibling	FOQA	LOSA	1
sibling	A2A	B2B	1
ancestor	red_hat_products	red_hat_jboss_enterprise_application_platform	1
ancestor	flight_plan	flight_plans	1
sibling	department_of_transportation	state_fair	1
ancestor	advanced_composite_materials	carbon_fiber	1
ancestor	american_civil_liberties_union	civil_rights	1
ancestor	latest_technologies	AJAX	1
ancestor	rock_properties	fracture_toughness	1
ancestor	multiple_flight_modes	flight_planning	1
sibling	dual_battery	satellite_navigation	1
ancestor	XAML	WPF	1
sibling	exception_handling	high_speed	1
ancestor	military_applications	asset_monitoring	1
sibling	SMS	instant_messaging	1
sibling	bae_systems	hdt_global	1
sibling	crop_scouting	precision_spraying	1
sibling	return_to_home	position_hold	1
sibling	facial_recognition_software	gps_tracking	1
ancestor	sensor_options	RGB	1
sibling	single_shot	burst_mode	1
sibling	law_enforcement	environmental_monitoring	1
sibling	propulsion_systems	power_sources	1
ancestor	SEO	technical_marketing	1
ancestor	multiple_missions	fixed_wing	1
sibling	package_delivery	precision_agriculture	1
sibling	NOTIFY	PUBLISH	1
ancestor	federal_agencies	US	1
ancestor	sensitive_information	mental_health	1
sibling	dji_phantom	3dr_solo	1
ancestor	red_hat_products	red_hat_enterprise_linux	1
ancestor	future_developments	parallel_processing	1
ancestor	phishing_scams	high_tech	1
sibling	image_capture	geo_tag	1
sibling	package_delivery	beyond_line_of_sight	1
sibling	image_processing	feature_extraction	1
sibling	business_analysts	project_managers	1
sibling	response_teams	asset_management	1
sibling	RTF	HTML	1
sibling	current_consumption	battery_voltage	1
sibling	ieee_xplore	google_scholar	1
sibling	remotely_piloted_aircraft	autonomous_systems	1
ancestor	external_media	floppy_disks	1
sibling	error_codes	SOAP	1
sibling	magnetic_particle	ultrasonic_inspection	1
